Year,Tsu,Location Name,Latitude,Longitude
1999,Tidak Terjadi Tsunami,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555
2000,Terjadi Tsunami,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573
2000,Tidak Terjadi Tsunami,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087
2000,Tidak Terjadi Tsunami,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905
2000,Tidak Terjadi Tsunami,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845
2001,Tidak Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.102,123.907
2002,Tidak Terjadi Tsunami,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333
2002,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234
2002,Terjadi Tsunami,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297
2002,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085
2003,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524
2003,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468
2003,Tidak Terjadi Tsunami,INDONESIA:  FLORES:  REO,-8.294,120.743
2003,Tidak Terjadi Tsunami,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855
2003,Tidak Terjadi Tsunami,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152
2003,Tidak Terjadi Tsunami,"INDONESIA:  FLORES, RUTENG",-8.137,120.524
2004,Tidak Terjadi Tsunami,"INDONESIA:  BALI, LOMBOK",-8.31,115.788
2004,Terjadi Tsunami,INDONESIA:  SERAM,-3.12,127.4
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-3.615,135.538
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-4.003,135.023
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488
2004,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54
2004,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.669,114.65
2004,Tidak Terjadi Tsunami,INDONESIA:  TIMOR: KUPANG,-9.362,122.839
2004,Terjadi Tsunami,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868
2004,Tidak Terjadi Tsunami,INDONESIA:  NABIRE,-3.609,135.404
